submissionid,score
2,55
3,82
4,81
6,73
7,56
8,83
20,42
21,75
22,61
23,70
24,76
25,79
26,65
27,75
28,55
29,55
30,33
31,60
32,67
33,75
34,60
35,69
36,51
37,69
38,59
39,81
40,82
41,57
43,57
44,56
45,77
46,67
47,72
48,66
49,75
50,74
52,63
53,63
55,72
56,84
57,54
58,66
63,86
64,76
65,71
69,62
70,68
71,72
72,87
73,81
74,81
75,63
76,71
77,85
78,69
79,49
86,93
87,72
88,64
89,58
90,57
91,48
92,61
93,63
94,27
95,68
96,84
97,75
99,56
102,73
103,71
104,77
105,81
108,78
109,79
110,64
111,46
112,49
113,62
114,67
115,76
116,67
119,68
120,60
121,76
122,74
123,64
124,84
125,80
126,74
128,60
130,61
131,90
132,63
134,56
135,67
136,69
137,73
140,68
141,76
142,66
143,66
144,41
145,68
146,82
147,52
148,38
149,67
151,67
152,82
153,94
154,72
155,90
157,42
159,22
163,49
164,19
167,80
168,87
169,83
170,79
171,63
175,88
176,73
179,17
180,67
181,71
182,71
184,38
187,58
189,37
190,71
191,67
192,78
193,57
194,48
195,73
198,69
199,44
200,58
201,63
202,18
203,49
205,63
206,51
207,44
208,51
209,57
210,44
211,66
212,55
213,42
214,53
215,79
216,42
217,30
218,68
219,50
220,63
221,65
223,54
224,69
225,82
226,77
227,72
228,74
229,73
230,74